Attribute,unique artifact,Specific Location,state,Identifier1,Identifier2,Identifier3,Identifier4,Old Identifier,Influence Locations,Image Link1,Image Link2,,,"{Identifier} famous throughout India, originated in {specific location}",,,,,,,,,,,Attribute,state,
Art,Kutch embroidery,Kutch,Gujarat,A handicraft,satin.,"in the form of a net using cotton, silk threads inn certain patterns",it is also crafted over silk,"A handicraft and textile signature art tradition of the tribal community practiced normally by women is generally done on fabrics of cotton, in the form of a net using cotton or silk threads inn certain patterns, it is also crafted over silk and satin.",,https://en.m.wikipedia.org/wiki/Kutch_Embroidery,,,,,,,,,,,,,,,,,
Art,Rogan Painting,Ahmedabad,Gujarat,"An art of cloth printing,they are of three type of",one is Rogan Art (Chhap),"second is Rogan Nirmika Art (Chhap), third is Rogan Varnika Art (Chhap)",,"An art of cloth printing,they are of three type of , one is Rogan Art (Chhap). second is Rogan Nirmika Art (Chhap), third is Rogan Varnika Art (Chhap).",,"https://en.m.wikipedia.org/wiki/Rogan_painting#:~:text=Rogan%20painting%20was%20initially%20practiced,decorate%20clothing%20for%20their%20weddings",,,,,,,,,,,,,,,,,
History,Lothal in gujarat,Ahmedabad,Gujarat,One of the southernmost sites of the ancient Indus Valley civilisation located in the Bhal region,,,,One of the southernmost sites of the ancient Indus Valley civilisation located in the Bhal region,,https://en.m.wikipedia.org/wiki/Lothal,,,,,,,,,,,,,,,,,
History,Mahatma Gandhi birthplace,Porbandar,Gujarat,"An Indian lawyer, anti-colonial nationalist,",political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule,,,"An Indian lawyer, anti-colonial nationalist, and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule",,https://en.m.wikipedia.org/wiki/Mahatma_Gandhi,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Sun Temple at Modhera,Mehsana,Gujarat,A Hindu temple dedicated to the solar deity Surya located at Modhera village,,,,,,"https://en.m.wikipedia.org/wiki/Sun_Temple,_Modhera",,,,,,,,,,,,,,,,,
Festival,Bhavnath Mahadev Fair,Junagadh,Gujarat,A fair held at the Foothills of Girnar mountain on the banks of the river Suvarnarekha,,,,A fair held at the Foothills of Girnar mountain on the banks of the river Suvarnarekha,,https://en.m.wikipedia.org/wiki/Bhavnath_fair,,,,,,,,,,,,,,,,,
Festival,Uttarayan in gujarat,Ahmedabad,Gujarat,An annual kite festival held in January to celebrate the days in the Hindu calendar when winter begins turning to summer this is the sign for farmers that the sun is back,that harvest season,"Makara Sankranti/Mahasankranti, is approaching",This is considered one of the most important harvest days as it also marks the end of winter,"An annual kite festival held in January to celebrate the days in the Hindu calendar when winter begins turning to summer this is the sign for farmers that the sun is back and that harvest season, Makara Sankranti/Mahasankranti, is approaching. This is considered one of the most important harvest days as it also marks the end of winter and the beginning of the harvest season",,https://en.m.wikipedia.org/wiki/International_Kite_Festival_in_Gujarat_%E2%80%93_Uttarayan,,,,,,,,,,,,,,,,,
Festival,Vautha Mela,Ahmedabad,Gujarat,A fair held at Vautha village of Dholka taluka,the place of the fair is known as Saptasangam - the confluence of seven rivers,,,"A fair held at Vautha village of Dholka taluka ,the place of the fair is known as Saptasangam - the confluence of seven rivers",,"https://en.m.wikipedia.org/wiki/Vautha_fair#:~:text=seven%20rivers%20here.-,Time,Sud%20Purnima%20(Dev%20Deepavali)",,,,,,,,,,,,,,,,,
Festival,Dangs Darbar,Dang,Gujarat,A fair organized during the Holi festival in Ahwa,,,,,,https://en.m.wikipedia.org/wiki/Dangs_Darbar,,,,,,,,,,,,,,,,,
Festival,Shamlaji melo,Arvalli,Gujarat,A fair held in the month of November every year this lasts for about two weeks devotees belonging to various castes,communities including the Garasias and Bhils throng this festival.,,,A fair held in the month of November every year this lasts for about two weeks devotees belonging to various castes and communities including the Garasias and Bhils throng this festival.,,https://gujaratindia.gov.in/Home/ShamlajiFair,,,,,,,,,,,,,,,,,
Language,Kutchi language,Kutch,Gujarat,"An Indo-Aryan language, the Jadeja rulers of Cutch, Rajputs of Kutch",speak this language,,,"An Indo-Aryan language ,the Jadeja rulers of Cutch and Rajputs of Kutch, speak this language",Rajasthan,https://en.m.wikipedia.org/wiki/Kutchi_language,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Siddi community in gujarat,Junagadh,Gujarat,A community also known by different synonyms such as Habshi,Badsha it is believed that they are of African origin,,,A community also known by different synonyms such as Habshi and Badsha it is believed that they are of African origin.,,"https://trti.gujarat.gov.in/siddi#:~:text=At%20present%20the%20Siddis%20are,of%20Siddi%20tribe%20was%2054291",,,,,,,,,,,,,,,,,
Tourism,Panchmahal Gujarati,Panchmahal,Gujarat,"A district in the eastern portion which means ""five tehsils/talukas"" (5 sub-divisions)",refers to the five sub-divisions that were transferred by the Maharaja Jivajirao Scindia of Gwalior State to the British,,,"A district in the eastern portion which means ""five tehsils/talukas"" (5 sub-divisions), and refers to the five sub-divisions that were transferred by the Maharaja Jivajirao Scindia of Gwalior State to the British",,https://en.m.wikipedia.org/wiki/Panchmahal_district,,,,,,,,,,,,,,,,,
Dance_and_Music,Garba,Ahmedabad,Gujarat,A form of Circle dance,"Social dance this is traditionally danced as part of the annual Hindu festival of Navratri (or ""Nine Nights"")","held in celebration of Amba Mata, or the primordial mother",,"A form of Circle dance and Social dance this is traditionally danced as part of the annual Hindu festival of Navratri (or ""Nine Nights""), held in celebration of Amba Mata, or the primordial mother",,https://en.m.wikipedia.org/wiki/Garba_(dance),,,,,,,,,,,,,,,,,
History,Salt March,Dandi,Gujarat,"An act of non violent civil disobedience , led by Mahatma Gandhi",nonviolent protest against the British salt monopoly,Another reason for this march was that the Civil Disobedience Movement needed a strong inauguration that would inspire more people to follow Gandhi's example,Gandhi started this march with 78 of his trusted volunteers,"An act of non violent civil disobedience , led by Mahatma Gandhi. The 24-day march lasted from 12 March 1930 to 6 April 1930 as a direct action campaign of tax resistance and nonviolent protest against the British salt monopoly. Another reason for this march was that the Civil Disobedience Movement needed a strong inauguration that would inspire more people to follow Gandhi's example. Gandhi started this march with 78 of his trusted volunteers.",,https://en.wikipedia.org/wiki/Salt_March,,,,,,,,,,,,,,,,,
History,Buddhist caves near Udayagiri,Vidisha,Madhya_Pradesh,The twenty rock-cut caves primarily denoted to the Hindu gods Vishnu,Shiva from the early years of the 3rd century CE to 5th century CE,,,The twenty rock-cut caves primarily denoted to the Hindu gods Vishnu and Shiva from the early years of the 3rd century CE to 5th century CE,,https://en.m.wikipedia.org/wiki/Udayagiri_Caves,,,,,,,,,,,,,,,,,
Tourism,Great Stupa of Sanchi,Raisen,Madhya_Pradesh,"A Buddhist complex, famous for its Great Stupa",on a hilltop at Sanchi Town,,,,,https://en.m.wikipedia.org/wiki/Sanchi,,,,,,,,,,,,,,,,,
Festival,Hingot Mela,Indore,Madhya_Pradesh,An age old tradition of residents of Gautampura this is observed on dhok padwa (a day after Diwali),,,,An age old tradition of residents of Gautampura this is observed on dhok padwa (a day after Diwali),,https://en.m.wikipedia.org/wiki/Hingot_war,,,,,,,,,,,,,,,,,
Costume,Bagh Print,Dhar,Madhya_Pradesh,A traditional Indian handicraft originating in Bagh,,,,,,"https://en.m.wikipedia.org/wiki/Bagh_print#:~:text=at%20Bagh%20Caves.-,Dyes,dhavdi%20leaves%2C%20or%20pomegranate%20rinds",,,,,,,,,,,,,,,,,
Festival,Lokrang Festival,Bhopal,Madhya_Pradesh,An event organised each year by the Directorate of Culture,this state's Tribal Museum this is a five day cultural extravaganza,,,An event organised each year by the Directorate of Culture and this state's Tribal Museum this is a five day cultural extravaganza,,https://utsav.gov.in/view-event/lokrang-festival-1,,,,,,,,,,,,,,,,,
Tourism,Marble Rocks and Dhuandhar Falls,Jabalpur,Madhya_Pradesh,An area along the Narmada River in Bhedaghat,,,,,,https://en.m.wikipedia.org/wiki/Marble_Rocks,https://en.m.wikipedia.org/wiki/Dhuandhar_Falls,,,,,,,,,,,,,,,,
Tourism,Pachmarhi,Hoshangabad,Madhya_Pradesh,A hill station,this has been the location of a cantonment (Pachmarhi Cantonment) since the British Raj,,,"A hill station.,this has been the location of a cantonment (Pachmarhi Cantonment) since the British Raj",,https://en.m.wikipedia.org/wiki/Pachmarhi,,,,,,,,,,,,,,,,,
Tourism,Orchha,Niwari,Madhya_Pradesh,A town established by a Bundela Rajput ruler Rudra Pratap Singh some time after 1501,,,,"A town established by a Bundela Rajput ruler Rudra Pratap Singh some time after 1501,",,https://en.m.wikipedia.org/wiki/Orchha,,,,,,,,,,,,,,,,,
Art,Sawantwadi Craft,Sawantwadi,Maharashtra,A hand made work of art made of wood It is reported that the makers of these toys face the challenge of competition from mass-produced cheap Chinese products,,,,A hand made work of art made of wood It is reported that the makers of these toys face the challenge of competition from mass-produced cheap Chinese products.,,https://en.m.wikipedia.org/wiki/Sawantwadi_toys,,,,,,,,,,,,,,,,,
Tourism,Ajanta and Ellora Caves,Aurangabad,Maharashtra,Rock-cut Buddhist cave monuments dating from the second century BCE to about 480,,,,,,https://en.wikipedia.org/wiki/Ajanta_Caves,,,,,,,,,,,,,,,,,
Tourism,Gateway of India,Mumbai,Maharashtra,An arch-monument completed in 1924 on the waterfront it was erected to commemorate the landing of George V for his coronation as the Emperor of India in December 1911 at Strand Road near Wellington Fountain,,,,An arch-monument completed in 1924 on the waterfront it was erected to commemorate the landing of George V for his coronation as the Emperor of India in December 1911 at Strand Road near Wellington Fountain.,,https://en.m.wikipedia.org/wiki/Gateway_of_India,,,,,,,,,,,,,,,,,
Personalities,Bal Gangadhar Tilak,Ratnagiri,Maharashtra,"An Indian nationalist, teacher, an independence activist, one of the first","I shall have it. ""","Lala Lajpat Rai, Aurobindo Ghose, V. O",Chidambaram Pillai and Muhammad Ali Jinnah,"An Indian nationalist, teacher, and an independence activist, one of the first and strongest advocates of Swaraj ('self-rule') . He is known for his quote in Marathi: ""Swaraj is my birthright and I shall have it!"". He formed a close alliance with many Indian National Congress leaders including Bipin Chandra Pal, Lala Lajpat Rai, Aurobindo Ghose, V. O. Chidambaram Pillai and Muhammad Ali Jinnah",,https://en.m.wikipedia.org/wiki/Bal_Gangadhar_Tilak,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Pandharpur Wari Pilgrimage,Pandharpur,Maharashtra,A yatra to honor Vithoba,Tukaram,Many pilgrims join this procession on foot,"Warkari is a Marathi term which means ""one who performs the wari""","A yatra to honor Vithoba, it involves carrying the paduka of a saint in a palkhi, most notably of Dnyaneshwar and Tukaram, . Many pilgrims join this procession on foot. Warkari is a Marathi term which means ""one who performs the wari"". The tradition is more than 700 to 800 years old",,https://en.m.wikipedia.org/wiki/Pandharpur_Wari,,,,,,,,,,,,,,,,,
Festival,Narali Purnima Festival,Mumbai,Maharashtra,A festival celebrated to mark the end of the monsoon season,start-off with their trade.,,,"A festival celebrated to mark the end of the monsoon season, as the fishermen now can begin fishing safely and start-off with their trade.",,"https://utsav.gov.in/view-event/narali-purnima#:~:text=Narali%20Poornima%20is%20a%20ceremonial%20day%20observed%20by%20Hindu%20fishing,falls%20around%20July%20or%20August",,,,,,,,,,,,,,,,,
Festival,Bail Pola Festival,Pune,Maharashtra,A celebration to honour the bulls that pull their ploughs,prepare the land for planting and harvesting.,,,"A celebration to honour the bulls that pull their ploughs, allowing them to plant crops and prepare the land for planting and harvesting.",,https://maharashtratourism.gov.in/festivals/bail-pola/,https://en.m.wikipedia.org/wiki/Pola_(festival),,,,,,,,,,,,,,,,
Cuisine,Misal Pav,Kolhapur,Maharashtra,A dish consisting of a vegetable curry mostly made from moth beans which is a type of Indian bread roll,,,,A dish consisting of a vegetable curry mostly made from moth beans which is a type of Indian bread roll.,,https://en.m.wikipedia.org/wiki/Misal_pav,,,,,,,,,,,,,,,,,
Dance_and_Music,Lavani,Solapur,Maharashtra,A combination of traditional song,dance particularly performed to the beats of Dholki,a percussion instrument,,"A combination of traditional song and dance particularly performed to the beats of Dholki, a percussion instrument.",,https://en.m.wikipedia.org/wiki/Lavani,,,,,,,,,,,,,,,,,
Tourism,Mahabaleshwar,Satara,Maharashtra,A place of pilgrimage for Hindus because the Krishna River has its origin there,,,,,,https://en.m.wikipedia.org/wiki/Mahabaleshwar,,,,,,,,,,,,,,,,,
History,Basilica of Bom Jesus,Old Goa,Goa,"A Catholic basilica in the Konkan region ,this is a pilgrimage centre",recognised by UNESCO as a World Heritage Site,,,"A Catholic basilica in the Konkan region ,this is a pilgrimage centre and recognised by UNESCO as a World Heritage Site",,https://en.m.wikipedia.org/wiki/Basilica_of_Bom_Jesus,,,,,,,,,,,,,,,,,
Festival,Carnival Festival,"Major cities like Panaji, Margao, and Vasco da Gama",Goa,One of the few traditional celebrations of the Western Christian holiday,imposed in 1965 to attract tourists,It has since turned into a major tourist attraction for the small state,,"One of the few traditional celebrations of the Western Christian holiday ,the current version of this was modelled after the Rio Carnival by a local Goan musician named Timoteo Fernandes and imposed in 1965 to attract tourists. It has since turned into a major tourist attraction for the small state.",,"https://en.m.wikipedia.org/wiki/Carnival_in_Goa#:~:text=Balloons%2C%20horse%2Ddrawn%20carriages%2C,parades%2C%20and%20food%20and%20drinking",,,,,,,,,,,,,,,,,
History,Annexation of Goa,"Panaji, Goa",Goa,"A process in which the Republic of India annexed the Portuguese State of India,",,,,,,https://en.m.wikipedia.org/wiki/Annexation_of_Goa,,,,,,,,,,,,,,,,,
Festival,Sao Jao festival,Divar Island,Goa,An annual Catholic religious festival celebrated on 24 June,,,,,,"https://en.m.wikipedia.org/wiki/S%C3%A3o_Jo%C3%A3o_Festival_in_Goa#:~:text=Another%20tradition%20involves%20creating%20effigies,the%20village%20cross%20or%20chapel",,,,,,,,,,,,,,,,,
Festival,Bonderam Festival,Divar Island and SÃƒÆ’Ã‚Â£o Matias,Goa,A centuries old festival evolved from our ancestors,the Kadamba dynasty to the Portuguese,,,"A centuries old festival evolved from our ancestors, the Kadamba dynasty to the Portuguese.",,https://utsav.gov.in/view-event/bonderam-flag-festival,,,,,,,,,,,,,,,,,
Personalities,Feast of St. Francis Xavier,"Basilica of Bom Jesus, Old Goa",Goa,A Navarrese cleric,missionary,who co-founded the Society of Jesus and,was a representative of the Portuguese Empire,"A Navarrese cleric and missionary.who co-founded the Society of Jesus and, was a representative of the Portuguese Empire",,"https://en.m.wikipedia.org/wiki/Francis_Xavier#:~:text=Francis%20Xavier%20is%20the%20patron,honour%20the%20region's%20cultural%20heritage",,,,,,,,,,,,,,,,,
Tourism,Zambaulim Village,South Goa district,Goa,A regional capital for the colonial Provincias de Zamboulim (also called Panchemal),,,,A regional capital for the colonial Provincias de Zamboulim (also called Panchemal),,https://en.m.wikipedia.org/wiki/Zambaulim,,,,,,,,,,,,,,,,,
Dance_and_Music,Fugdi,Konkan region of Goa and Maharashtra,Goa,A folk dance performed by the womenfolk of some communities of Konkanies,,,,,,https://en.m.wikipedia.org/wiki/Fugdi,,,,,,,,,,,,,,,,,
Cuisine,Feni,Ponda,Goa,A spiritous liquor type This word is derived from the Sanskrit word Ãƒ Ã‚Â¤Ã‚Â«Ãƒ Ã‚Â¥Ã¢â‚¬Â¡Ãƒ Ã‚Â¤Ã‚Â¨ phena,in Konkani Ãƒ Ã‚Â¤Ã‚Â«Ãƒ Ã‚Â¥Ã¢â‚¬Â¡Ãƒ Ã‚Â¤Ã‚Â£ fenn (froth); thought to come from the bubbles that form when the liquor is shaken inside a bottle,poured into a glass,,"A spiritous liquor type This word is derived from the Sanskrit word Ãƒ Ã‚Â¤Ã‚Â«Ãƒ Ã‚Â¥Ã¢â‚¬Â¡Ãƒ Ã‚Â¤Ã‚Â¨ phena, in Konkani Ãƒ Ã‚Â¤Ã‚Â«Ãƒ Ã‚Â¥Ã¢â‚¬Â¡Ãƒ Ã‚Â¤Ã‚Â£ fenn (froth); thought to come from the bubbles that form when the liquor is shaken inside a bottle or poured into a glass",,https://en.m.wikipedia.org/wiki/Feni_(liquor),,,,,,,,,,,,,,,,,
Dance_and_Music,Tiatr,"Panaji, other urban centers in Goa",Goa,A type of musical theatre popular among the Goan expatriate communities,incorporate elements such as music,"dance, and singing. Individuals who perform there are referred to as tiatrists.",,"A type of musical theatre popular among the Goan expatriate communities , and other cities with a significant presence of Konkani speakers. The plays are primarily performed in the Romi Konkani dialects and incorporate elements such as music, dance, and singing. Individuals who perform there are referred to as tiatrists.",,https://en.m.wikipedia.org/wiki/Tiatr,,,,,,,,,,,,,,,,,
Festival,Shigmo Festival,Ponda and Panaji,Goa,One of the major festivals of the Hindu community celebrated by Konkani diaspora,,,,,,"https://en.m.wikipedia.org/wiki/Shigmo#:~:text=Naman%20are%20songs%20sung%20in,festival%20comes%20to%20an%20end",,,,,,,,,,,,,,,,,
Dance_and_Music,Ghumot,Villages around Ponda,Goa,A membranophone instrument,this is a percussion instrument of earthen vessel having both sides open,,,"A membranophone instrument ,this is a percussion instrument of earthen vessel having both sides open",,"https://en.m.wikipedia.org/wiki/Ghumot#:~:text=Other%20states,-Performers%20of%20gummeta&text=This%20percussion%20instrument%20is%20also,in%20the%20storytelling%20folk%20tradition",,,,,,,,,,,,,,,,,
Art,Khurja Pottery,Bulandshahar,Uttar_Pradesh,A traditional pottery work manufactured in Khurja,,,,,,"https://en.m.wikipedia.org/wiki/Khurja_pottery#:~:text=Khurja%20pottery%20is%20traditional%20Indian,Property%20Rights%20(TRIPS)%20agreement",,,,,,,,,,,,,,,,,
Religion,Ramcharitmanas,Ayodhya,Uttar_Pradesh,An epic poem in the Awadhi language,composed by the 16th-century Indian bhakti poet Tulsidas,,,"An epic poem in the Awadhi language, composed by the 16th-century Indian bhakti poet Tulsidas",,https://en.m.wikipedia.org/wiki/Ramcharitmanas,,,,,,,,,,,,,,,,,
Dance_and_Music,Kathak,Lucknow,Uttar_Pradesh,One of the eight major forms of Indian classical dance.,,,,,,"https://en.m.wikipedia.org/wiki/Kathak#:~:text=Kathak%20is%20one%20of%20the,courts%20of%20north%20Indian%20kingdoms",,,,,,,,,,,,,,,,,
Festival,Prayagraj Kumbh Mela,Prayagraj,Uttar_Pradesh,An ongoing iteration of the Maha Kumbh Mela,scheduled to take place from 13 January to 26 February 2025,at the Triveni Sangam,,"An ongoing iteration of the Maha Kumbh Mela, scheduled to take place from 13 January to 26 February 2025, at the Triveni Sangam",,https://simple.m.wikipedia.org/wiki/Maha_Kumbh_(Prayagraj)_2025,,,,,,,,,,,,,,,,,
Festival,Khichdi Mela,Gorakhpur,Uttar_Pradesh,A three-day Khichdi at the holy land of Guru Gorakhnath.,,,,,,https://utsav.gov.in/view-event/khichdi-mela,,,,,,,,,,,,,,,,,
Festival,Ashoka's Pillar and the Dhamek Stupa,Varanasi,Uttar_Pradesh,Aseries of monolithic columns dispersed erectedÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Âor at least inscribed with edictsÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Âby the 3rd Mauryan Emperor Ashoka the Great,,,,Aseries of monolithic columns dispersed erectedÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Âor at least inscribed with edictsÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Âby the 3rd Mauryan Emperor Ashoka the Great,,https://en.m.wikipedia.org/wiki/Pillars_of_Ashoka,https://en.m.wikipedia.org/wiki/Dhamek_Stupa,https://varanasismartcity.gov.in/about/sarnath,,,,,,,,,,,,,,,
Festival,Lathmar Holi,Mathura,Uttar_Pradesh,A Hindu festival celebrated in the twin towns of Barsana,Nandgaon,,,,,https://en.m.wikipedia.org/wiki/Lathmar_Holi,,,,,,,,,,,,,,,,,
Dance_and_Music,Charkula Dance,Mathura,Uttar_Pradesh,A traditional folk dance in the Braj region,,,,,,"https://www.charkula.com/charkula/#:~:text=The%20dancers%20often%20perform%20in,heritage%20of%20the%20Braj%20region",https://en.m.wikipedia.org/wiki/Charkula,,,,,,,,,,,,,,,,
History,Bharat Milap,Varanasi,Uttar_Pradesh,A festival observed in Nati Imli which holds significant cultural,religious importance in the context of the Ramayana,,,A festival observed in Nati Imli which holds significant cultural and religious importance in the context of the Ramayana,,https://kashi.gov.in/event/bharat-milap,,,,,,,,,,,,,,,,,
Festival,Magh Mela,Prayagraj,Uttar_Pradesh,One of the greatest annual religious affairs for Hindus,Hindu mythology considers the origin of this to be the beginning of the Universe,,,"One of the greatest annual religious affairs for Hindus,Hindu mythology considers the origin of this to be the beginning of the Universe",,"https://prayagraj.rkmm.org/magh-mela#:~:text=The%20Magh%20Mela%20is%20one,is%20known%20as%20%22Kalpvas%22",https://en.wikipedia.org/wiki/Magh_Mela,,,,,,,,,,,,,,,,
Dance_and_Music,Raslila Dance,Mathura,Uttar_Pradesh,A part of a traditional story described in Hindu texts such as the Bhagavata Purana,"Gita Govinda, where Krishna dances with Radha and the gopis of Braj",,,"A part of a traditional story described in Hindu texts such as the Bhagavata Purana and Gita Govinda, where Krishna dances with Radha and the gopis of Braj",,https://en.m.wikipedia.org/wiki/Raslila,,,,,,,,,,,,,,,,,
Festival,Dev Deepawali,Varanasi,Uttar_Pradesh,A festival of Kartik Poornima It falls on the full moon of the Hindu month of Kartika (November - December),its presiding goddess. Mythologically,the gods are believed to descend to Earth to bathe in the Ganges on this day,[ The festival is also observed as Tripura Purnima Snan The tradition of lighting the lamps on this festival day was first started at the Dashashwamedh Ghat by Pandit Kishori Raman Dubey (Babu Maharaj) in 1991,"A festival of Kartik Poornima It falls on the full moon of the Hindu month of Kartika (November - December) and takes place fifteen days after Diwali. The steps of all the ghats on the riverfront of the Ganges River, from Ravidas Ghat at the southern end to Rajghat, are lit with more than a million earthen lamps (diyas) in honour of Ganga, the Ganges, and its presiding goddess. Mythologically, the gods are believed to descend to Earth to bathe in the Ganges on this day.[ The festival is also observed as Tripura Purnima Snan The tradition of lighting the lamps on this festival day was first started at the Dashashwamedh Ghat by Pandit Kishori Raman Dubey (Babu Maharaj) in 1991",,"https://en.m.wikipedia.org/wiki/Dev_Deepavali_(Varanasi)#:~:text=The%20Dev%20Deepavali%20(%20lit.,place%20fifteen%20days%20after%20Diwali",,,,,,,,,,,,,,,,,
Art,Zari work,Varanasi,Uttar_Pradesh,An even thread traditionally made of fine gold,elaborate designs of embroidery called zardozi,It was popularised during the Moghul era; the port of Surat was linked to the Meccan pilgrimage route which served as a major factor for re-introducing this ancient craft,,"An even thread traditionally made of fine gold or silver This thread is woven into fabrics, primarily silk, to make intricate patterns and elaborate designs of embroidery called zardozi. It was popularised during the Moghul era; the port of Surat was linked to the Meccan pilgrimage route which served as a major factor for re-introducing this ancient craft",,https://en.m.wikipedia.org/wiki/Zari,,,,,,,,,,,,,,,,,
Art,Chikankari embroidery,Lucknow,Uttar_Pradesh,A traditional embroidery style,"wife of Jahangir, for introducing this.",this stems from the white-on-white embroidery of Shiraz came as part of a culture of Persian nobles at the Mughal court,There is also a tale that mentions how a traveler taught chikan to a peasant in return of water to drink,"A traditional embroidery style. According to Laila Tyabji, this stems from the white-on-white embroidery of Shiraz came as part of a culture of Persian nobles at the Mughal court.There is also a tale that mentions how a traveler taught chikan to a peasant in return of water to drink. The most popular origin story credits Noor Jahan, Mughal empress and wife of Jahangir, for introducing this.",,https://en.m.wikipedia.org/wiki/Chikankari,https://timesofindia-indiatimes-com.cdn.ampproject.org/v/s/timesofindia.indiatimes.com/life-style/fashion/buzz/all-about-the-history-of-chikankari/amp_articleshow/101600783.cms?amp_gsa=1&amp_js_v=a9&usqp=mq331AQIUAKwASCAAgM%3D#amp_tf=From%20%251%24s&aoh=17480933868922&referrer=https%3A%2F%2Fwww.google.com&ampshare=https%3A%2F%2Ftimesofindia.indiatimes.com%2Flife-style%2Ffashion%2Fbuzz%2Fall-about-the-history-of-chikankari%2Farticleshow%2F101600783.cms,,,,,,,,,,,,,,,,
Costume,Banarasi Saree,Varanasi,Uttar_Pradesh,A sari made in the Bhojpur-Purvanchal region,,,,,,https://en.m.wikipedia.org/wiki/Banarasi_sari,,,,,,,,,,,,,,,,,
Cuisine,Awadhi cuisine,Lucknow,Uttar_Pradesh,A cuisine native to the Awadh region,,,,,,https://en.m.wikipedia.org/wiki/Awadhi_cuisine,,,,,,,,,,,,,,,,,
History,Taj Mahal,Agra,Uttar_Pradesh,An ivory-white marble mausoleum on the right bank of the river Yamuna it was commissioned in 1631 by the fifth Mughal emperor,a guest house,is set in formal gardens bounded on three sides by a crenellated wall,Mumtaz Mahal; it also houses the tomb of Shah Jahan himself,"An ivory-white marble mausoleum on the right bank of the river Yamuna it was commissioned in 1631 by the fifth Mughal emperor, Shah Jahan (r.ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Â°1628ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“1658) to house the tomb of his beloved wife, Mumtaz Mahal; it also houses the tomb of Shah Jahan himself. The tomb is the centrepiece of a 17-hectare (42-acre) complex, which includes a mosque and a guest house, and is set in formal gardens bounded on three sides by a crenellated wall.",,https://en.m.wikipedia.org/wiki/Taj_Mahal,,,,,,,,,,,,,,,,,
History,Agra Fort,Agra,Uttar_Pradesh,A historical Mughal fort,the present-day structure was completed in 1573,"It served as the main residence of the rulers of the Mughal dynasty until 1638 It was also known as the ""Lal-Qila""","""Qila-i-Akbari""","A historical Mughal fort . Mughal emperor Humayun was crowned at this fort in 1530. It was later renovated by the Mughal emperor Akbar from 1565 and the present-day structure was completed in 1573. It served as the main residence of the rulers of the Mughal dynasty until 1638 It was also known as the ""Lal-Qila"" or ""Qila-i-Akbari"".",,https://en.m.wikipedia.org/wiki/Agra_Fort,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,The Ram Mandir,Ayodhya,Uttar_Pradesh,A partially constructed Hindu temple complex,many Hindus believe that this is located at the site of Ram Janmabhoomi,,,"A partially constructed Hindu temple complex ,many Hindus believe that this is located at the site of Ram Janmabhoomi",,https://en.m.wikipedia.org/wiki/Ram_Mandir,,,,,,,,,,,,,,,,,
History,Lucknow Residency,Lucknow,Uttar_Pradesh,A residence for the British Resident General who was a representative in the court of the Nawab of Awadh,Oudh,,,A residence for the British Resident General who was a representative in the court of the Nawab of Awadh or Oudh.,,"https://en.m.wikipedia.org/wiki/The_Residency,_Lucknow",,,,,,,,,,,,,,,,,
Dance_and_Music,Veeragase,Shaivite community,Karnataka,A vigorous dance based on Hindu mythology this involves very intense energy-sapping dance movements performed by Jangama,,,,A vigorous dance based on Hindu mythology this involves very intense energy-sapping dance movements performed by Jangama.,,https://en.wikipedia.org/wiki/Veeragase,,,,Veeragase,,,,,,,,,,,,,
Art,Bidriware,Bidar,Karnataka,A metal handicraft developed in the 14th century C. E,during the rule of the Bahmani Sultans,,,A metal handicraft developed in the 14th century C.E. during the rule of the Bahmani Sultans,,https://en.m.wikipedia.org/wiki/Bidriware,,,,,,,,,,,,,,,,,
Cultural_Common_Sense,Hampi,Vijayanagara,Karnataka,A city in located along the Tungabhadra River,it was possibly known as Kishkindha in the Ramayana age,,,"A city in located along the Tungabhadra River ,it was possibly known as Kishkindha in the Ramayana age",,https://en.m.wikipedia.org/wiki/Hampi_(town),,,,,,,,,,,,,,,,,
Tourism,Jog Falls,Shimoga,Karnataka,A waterfall on the Sharavati river located in Siddapur taluk,is ranked 36th in the list of free-falling waterfalls,490th in the world by list of waterfalls by total height,128th in the list of single-drop waterfalls in the World by the waterfall database,"A waterfall on the Sharavati river located in Siddapur taluk, its view point is in Kargal town. It is the second highest plunge waterfall , which depends on rain and season to become a plunge waterfall. The falls are major attractions for tourists and is ranked 36th in the list of free-falling waterfalls, 490th in the world by list of waterfalls by total height, 128th in the list of single-drop waterfalls in the World by the waterfall database.",,https://en.m.wikipedia.org/wiki/Jog_Falls,,,,,,,,,,,,,,,,,
