question,answer,supporting_facts,graph_path,type,source,prob_yes,Corrected Question,Comments
,,,,,,,Sahili,
"Which wildlife sanctuary, famous for forest and wildlife sanctuary spanning over 130 square kilometres (50 sq mi), is located in the same state where the personality Bhadrachala Ramadasu (known for saint-poet and a composer of carnatic music) is associated?",Pocharam Wildlife Sanctuary,"A saint-poet and a composer of Carnatic music. He is a famous Vaggeyakara (classical composer)from the Telugu classical era.|A forest and wildlife sanctuary spanning over 130 square kilometres (50 sq mi), it was a former hunting ground of the Nizam that was declared a wildlife sanctuary in the early 20th century.The sanctuary has an ecotourism center for visitors.It is home to many species of birds and mammals.",personalities:bhadrachala_ramadasu|state:telangana|tourism:pocharam_wildlife_sanctuary,A,bank,0.9974271655082703,"Which wildlife sanctuary, famous for its forest and wildlife area spanning over 130 square kilometres (50 sq mi), is located in the same state where the personality ""Bhadrachala Ramadasu"" is associated?",Removed  (known for saint-poet and a composer of carnatic music)
"Which national park, famous for protected forest reserve rich in biodiversity, is associated with the same state where the personality Harshvardhan (known for ancient indian emperor known for uniting northern india and promoting arts and) is associated?",Kalesar national park,"An ancient Indian emperor known for uniting northern India and promoting arts and culture|A protected forest reserve rich in biodiversity, home to elephants, leopards, and many bird species.",personalities:harshvardhan|state:haryana|tourism:kalesar_national_park,A,bank,0.9975261092185974,"Which national park, famous for its for leopards, panthers, elephants, red jungle fowl and bird-watching , is located in the same state where the personality ""Harshvardhan"" is associated?","Question was misleading so added  (famous for its for leopards, panthers, elephants, red jungle fowl and bird-watching) and removed  (known for ancient indian emperor known for uniting northern india and promoting arts and)"
"Which traditional costume, known for being a handwoven saree made by weavers of Mirzapur, is worn in the same state where the festival Pohela Boishakh celebrated as the Bengali New Year is observed?""",Garad saree,"Bengali New Year celebrated by the Bengali people worldwide.It is a festival based on the spring harvest which marks the first day of the new year in the Bengali calendar.|A traditional handwoven saree a weaver of Mirzapur, is the inventor of this famous saree ,this handloom saree is famous for the beautiful delicate designs on the anchal and ""butti"", the use of 100% pure silk in the weave and the saree fineness of the fabric",festival:pohela_boishakh|state:west_bengal|costume:garad_saree,A,gold,NA,"Which traditional costume, known for being a handwoven saree made by weavers of Mirzapur, is worn in the same state where the festival Pohela Boishakh celebrated as the Bengali New Year is observed?""",
"Which wildlife sanctuary, famous for forest and wildlife sanctuary spanning over 130 square kilometres (50 sq mi), is located in the same state where the historic site Errum Manzil (known for 19th century palace with european-style architecture) was built?",Pocharam Wildlife Sanctuary,"A 19th century palace with European-style architecture, now a government office.|A forest and wildlife sanctuary spanning over 130 square kilometres (50 sq mi), it was a former hunting ground of the Nizam that was declared a wildlife sanctuary in the early 20th century.The sanctuary has an ecotourism center for visitors.It is home to many species of birds and mammals.",history:errum_manzil|state:telangana|tourism:pocharam_wildlife_sanctuary,A,bank,0.997094988822937,"Which wildlife sanctuary, famous for its forest and wildlife area spanning over 130 square kilometres (50 sq mi), is located in the same state where the historic site ""Errum Manzil""  was built?",Removed (known for 19th century palace with european-style architecture)
"Which festival, famous for performed in remember of driving away the mohameddens, originated from the same state where the art piece Sujani embroidery (known for textile expressive art product) was crafted?",Jani Shikar,"A textile expressive art product, given protection under the GI registration act this is usually a quilt or bed spread,this was earlier made of old clothes, but is now generally made of easily available fabric with embroidery done with the most simple stitches with motifs narrating stories|Performed in remember of driving away the mohameddens by the kurukh womenfolk, who wanted to capture the fort on the Sharhul festival new year day for tribal community, when men used to be in drunken condition. They had tried to capture 12 times in 12 years and every time they were driven by the kurukh women, who wore the men's clothes while in the field of war.It held once every 12 years.",art:sujani_embroidery|state:bihar|festival:jani_shikar,A,bank,0.9983285069465637,"Which festival, famous for being performed in remembrance of driving away the Mohammedans, originated in the same state where the art piece ""Sujani embroidery""  was crafted?",Removed (known for its expressive textile art)
"Which art piece, famous for hand painting whose history is spread over 800 years, is associated with the same state where the tourist attraction Bodh Gaya (known for religious site and place of pilgrimage associated with the mahabodhi temple complex) is associated?",Tikuli art,"A religious site and place of pilgrimage associated with the Mahabodhi Temple complex,|A type of hand painting whose history is spread over 800 years",tourism:bodh_gaya|state:bihar|art:tikuli_art,A,bank,0.9976886510848999,"Which traditional art form, known for its intricate hand-painted designs on hardboard and glass, with a history spanning over 800 years, is associated with the same state where the tourist attraction ""Bodh Gaya"" is located?",Question was confusing so added ( its intricate hand-painted designs on hardboard and glass)
"Which historic site, famous for soldiers native to the indian subcontinent closely, is associated with the same state where the festival Uttarayani festival (known for annual fair that marks the occasion of makar sankranti) is celebrated?",Gurkha,"An annual fair that marks the occasion of Makar Sankranti, typically taking place in the second week of January|Soldiers native to the Indian subcontinent closely, associated with the khukuri, a forward-curving knife, and have a reputation for fearless military prowess.",festival:uttarayani_festival|state:uttarakhand|history:gurkha,A,bank,0.991682767868042,"Which historic military group, renowned for its bravery and native to the Indian subcontinent, is associated with the same state where the Uttarayani festival is celebrated?",Replaced historic site with military group 
"Which art piece, famous for saris are traditionally worn, was crafted in the same state where the religious tradition Lakshmi Puja (known for hindu occasion celebrated on the amavasya (new moon day) in the vikram) is associated?",Kantha embroidery,"A Hindu occasion celebrated on the amavasya (new moon day) in the Vikram Samvat Hindu calendar month of Ashwayuja on the third day of Deepavali.|A type of saris are traditionally worn by women in the Bengal region embroidery is stitched, popularly known as 'kantha stitched"", on sari, kurta and churidar and many other garments and gaining popularity due to their aesthetic value and handmade characteristics",religion:lakshmi_puja|state:west_bengal|art:kantha_embroidery,A,bank,0.9944767355918884,"Which traditional art form, known for its intricate hand-stitched patterns often seen on saris and quilts, originates from the same state where the Hindu festival of ""Lakshmi Puja"" is celebrated ?","Replaced art piece with art form , and added (known for its intricate hand-stitched patterns often seen on saris and quilts)"
"Which historic site, famous for hindu religious center of vedic learning, is associated with the same state where the dish Coconut-based dishes (known for use coconut as a primary ingredient) originated?",Kanchi Kamakoti Peetham,"Use coconut as a primary ingredient,refer to the entire coconut palm or the seed, or the fruit, which, botanically, is a drupe, not a nut.|A Hindu religious center of Vedic learning, located near the Kamakshi Amman Temple.",cuisine:coconut_based_dishes|state:tamil_nadu|history:kanchi_kamakoti_peetham,A,bank,0.9945552349090576,"Which historic site, famous as a Hindu religious center of Vedic learning, is associated with the same state where ""coconut-based dishes""  originated?",Removed (known for using coconut as a primary ingredient)
"Which religious tradition, famous for complex of ancient temples dedicated to various hindu deities, is associated with the same state where the wildlife sanctuary Rowa Wildlife Sanctuary (known for small but ecologically significant sanctuary housing a variety of flora and fauna) is associated?",Gunabati Group of Temples,"A small but ecologically significant sanctuary housing a variety of flora and fauna.|A complex of ancient temples dedicated to various Hindu deities, known for their terracotta work",tourism:rowa_wildlife_sanctuary|state:tripura|religion:gunabati_group_temples,A,bank,0.9951663017272949,"Which religious tradition, famous for its complex of ancient temples dedicated to various Hindu deities, is associated with the same state where the ""Rowa Wildlife Sanctuary""  is located?",Removed (known as a small but ecologically significant sanctuary housing a variety of flora and fauna)
"Which personality, famous for indian actress who primarily works in hindi films, worked in the same state where the church Diocese of Dornakal of the Church of South India (known for diocese of the church of south india) is associated?",Dia Mirza,"A diocese of the Church of South India,the Church of South India is a United Protestant denomination|An Indian actress who primarily works in Hindi films, won the title of Miss Asia Pacific International in 2000 after being crowned Femina Miss India Asia Pacific 2000. Mirza made her acting debut with the Hindi film Rehnaa Hai Terre Dil Mein (2001), which earned her the Filmfare Award for Best Female Debut nomination.",history:diocese_dornakal_church_south_india|state:telangana|personalities:dia_mirza,A,bank,0.9956281185150146,"Which personality, famous as an actress who primarily works in Hindi films, is associated with the same state where the ""Diocese of Dornakal of the Church of South India"" is located?",Removed india and (known for diocese of the church of south india) 
"Which art piece, famous for largest film industry in india, is associated with the same state where the temple Thousand Pillar Temple (known for it is dedicated to lord shiva) is associated?",Telugu cinema,"A historical Hindu temple,it is dedicated to Lord Shiva, Vishnu and Surya|The largest film industry in India by box-office revenue as of 2021. It sold 23.3 crore (233 million) tickets in 2022, the highest among all Indian film industries.",history:thousand_pillar_temple|state:telangana|art:telugu_cinema,A,bank,0.9993507266044617,"Which art piece, famous for being the largest film industry in India, is associated with the same state where the ""Thousand Pillar Temple"" is located?",Removed (known for being dedicated to Lord Shiva) 
"Which temple, famous for 7th-century temple of lord shiva, was ruled in the same state where the tourist attraction M. Chinnaswamy Stadium (known for cubbon and uptown mg road) is associated?",Virupaksha Temple,"A cricket stadium flanked by the picturesque Cubbon Park, Queen's Road, Cubbon and uptown MG Road, this five-decade-old stadium is situated in the heart of the city . It regularly hosts Test, ODI, T20I and first-class cricket matches, as well as musical, cultural events. The stadium is the home ground of the Karnataka men's, Karnataka women's as well as franchises RCB men's and RCB women's teams.|A 7th-century temple of Lord Shiva. situated on the banks of the river Tungabhadra .this temple is dedicated to Sri Virupaksha. The temple was expanded by Lakkan Dandesha, a nayaka (chieftain) under the ruler Deva Raya II, also known as Prauda Deva Raya of the Vijayanagara Empire.",tourism:m_chinnaswamy_stadium|state:karnataka|history:virupaksha_temple,A,bank,0.9937902092933655,"hich temple, famous for being a 7th-century temple dedicated to Lord Shiva and situated on the banks of the river Tungabhadra, is located in the same state where the tourist attraction ""M. Chinnaswamy Stadium""  is associated?",Removed (known for its location near Cubbon Park and MG Road) 
"Which festival, famous for spring festivity associated with agriculture celebrated, is celebrated in the same state where the historic site Rang Ghar (known for where the kings and feudal lords of the ahom empire used to) was built?",Ali Ai Ligang festival,"A two-storey building, where the kings and feudal lords of the Ahom Empire used to sit and enjoy the popular sports of that time,built in the 18th century by King Swargadeo Pramatta Singh , this 10-metre high, royal, sports pavilion was built especially to watch cultural programmes and traditional games like buffalo and elephant fights etc. held during the Bihu festival|A spring festivity associated with agriculture celebrated by the tribal people and other Northeast Indian states on the occasion of the beginning of the Ahu paddy cultivation. The festival marks onset of sowing seeds",history:rang_ghar|state:assam|festival:ali_ai_ligang_festival,A,bank,0.9991758465766907,"Which festival, famous as a spring festivity associated with agriculture and celebrated by the Mising community, is observed in the same state where the historic site ""Rang Ghar"" was built?",Removed (known as the pavilion where the kings and feudal lords of the Ahom Empire used to watch games and cultural events) 
"Which historic site, famous for indigenous weapon of war, happened in the same state where the festival Kadalekai Parishe festival (known for popularly as the groundnut festival) originated?",Kodava weapon during Huttari,"A festival popularly as the groundnut festival, this welcomes the first yield of the groundnut crop, farmers congregate at the Bull Temple each year to seek blessings for a good harvest. Heaps of different varieties and qualities of groundnuts spring up in the area surrounding the Bull Temple, the Dodda Ganesha Shrine, and the Bugle Rock Park in Basavanagudi, one of the oldest suburbs. During this, visitors buy groundnuts in bulk directly from farmers at prices cheaper than market rates,a special pooja and prayers are held at the bull temple.|An indigenous weapon of war . This is developed from an implement used to cut through dense undergrowth. Unlike most blades, it is worn without a sheath. This is the traditional sword of the Kodavas",festival:kadalekai_parishe_festival|state:karnataka|history:kodava_weapon_during_huttari,C,bank,0.9995786547660828,,
"Which historic site, famous for indigenous weapon of war, happened in the same state where the festival Mysore Dasara (known for 10-day festival starting with nine nights called navaratri and the last day) is celebrated?",Kodava weapon during Huttari,"A 10-day festival starting with nine nights called Navaratri and the last day being Vijayadashami. The festival is observed on the tenth day in the Hindu calendar month of Ashvina, which typically falls in the Gregorian months of September and October., it celebrates the warriors and the state fighting for the good during this festival, ritually worshipping and displaying the state sword, weapons, elephants, horses, along with the goddess in her warrior form (predominantly) as well as the avatar of Vishnu, Rama.|An indigenous weapon of war . This is developed from an implement used to cut through dense undergrowth. Unlike most blades, it is worn without a sheath. This is the traditional sword of the Kodavas",festival:mysore_dasara|state:karnataka|history:kodava_weapon_during_huttari,A,bank,0.9951109290122986,,
"Which religious tradition, famous for collection of 7th- and 8th-century unesco-listed rock-cut temples famous for intricate sculptures, is associated with the same state where the festival Aadi Perukku (known for cultural festival celebrated exclusively among populations from southern india) is celebrated?",Mahabalipuram temples,"A cultural festival celebrated exclusively among populations from Southern India, on the 18th day of the Tamil month of Adi. The festival pays tribute to water's life-sustaining properties. For the blessing of mankind with peace, prosperity and happiness, nature worship in the form of Amman deities are organized to shower Nature's bountiful grace on human beings.|A collection of 7th- and 8th-century UNESCO-listed rock-cut temples famous for intricate sculptures.",festival:aadi_perukku|state:tamil_nadu|religion:mahabalipuram_temples,A,bank,0.9914743900299072,"Which historic site, famous for its collection of 7th- and 8th-century UNESCO-listed rock-cut temples known for intricate sculptures, is associated with the same state where the festival ""Aadi Perukku""  is celebrated ?",Replaced religious tradition with historic site as it misleading 
"Which wildlife sanctuary, famous for protected area of india in the himalayan foothills conjoins sessa orchid sanctuary, is associated with the same state where the festival Solung Festival (known for most popular festival of the adis celebrated in the beginning of september) is celebrated?",Eaglenest Wildlife Sanctuary,"The most popular festival of the Adis celebrated in the beginning of September, after the sowing of seeds, to pray for a bountiful harvest and overall prosperity|A protected area of India in the Himalayan foothills conjoins Sessa Orchid Sanctuary to the northeast and Pakhui Tiger Reserve across the Kameng river to the east and Altitude ranges are extreme from 500 metres (1,640 ft) to 3,250 metres (10,663 ft)",festival:solung_festival|state:arunachal_pradesh|tourism:eaglenest_wildlife_sanctuary,A,bank,0.9971802234649658,"Which wildlife sanctuary, famous as a protected area in the Himalayan foothills and adjoining the Sessa Orchid Sanctuary, is located in the same state where the ""Solung Festival""  is celebrated ?",Removed (known for most popular festival of the adis celebrated in the beginning of september) 
"Which festival, famous for popular annual festival typically takes place in the month of july celebrated, is celebrated in the same state where the fort Kangra fort (known for historic fort also known as 'nagarkot' and 'kot kangra' stands on a) is associated?",Minjar Festival,"A historic fort also known as 'Nagarkot' and 'Kot Kangra' stands on a hillock between two rivers (Manjhi and Banganga), among the foothills of the Dhauladhar range|A popular annual festival typically takes place in the month of July celebrated to mark the harvesting of the maize crop and to seek blessings for a bountiful year ahead",tourism:kangra_fort|state:himachal_pradesh|festival:minjar_festival,A,bank,0.9935609102249146,"Which festival, famous as a popular annual celebration that typically takes place in the month of July, is celebrated in the same state where the  ""Kangra Fort"" is associated?",Removed (known for historic fort also known as 'nagarkot' and 'kot kangra' stands on a)
"Which festival, famous for performed in remember of driving away the mohameddens, originated from the same state where the art piece Manjusha paintings (known for folk art developed in india's ang region that is often painted on) is associated?",Jani Shikar,"A folk art developed in India's Ang region that is often painted on cloth or paper and portray scenes from the Bihula and the Bisharis folk story|Performed in remember of driving away the mohameddens by the kurukh womenfolk, who wanted to capture the fort on the Sharhul festival new year day for tribal community, when men used to be in drunken condition. They had tried to capture 12 times in 12 years and every time they were driven by the kurukh women, who wore the men's clothes while in the field of war.It held once every 12 years.",art:manjusha_paintings|state:bihar|festival:jani_shikar,A,bank,0.9952793121337891,"Which festival, famous for being performed in remembrance of driving away the Mohammedans, originated in the same state  where the art piece ""Manjusha paintings"" is associated?",Removed  (known for folk art developed in india's ang region that is often painted on) 
"Which tourist attraction, famous for beach and village near koyilandy, was built in the same state where the art piece Kerala Mural Paintings (known for frescos depicting hindu mythology) was painted?",Kappad Beach,"The frescos depicting Hindu mythology,display an abounding tradition of mural paintings mostly dating back between the 9th to 12th centuries CE when this form of art enjoyed royal patronage. The scriptural basis of these paintings can be found in the Sanskrit texts, Chithrasoothram.|A beach and village near Koyilandy.A stone monument installed by government commemorates the ""landing"" by Vasco da Gama with the inscription, 'Vasco da Gama landed here, Kappakadavu, in the year 1498'.",art:kerala_mural_paintings|state:kerala|tourism:kappad_beach,A,bank,0.9985944628715515,"Which tourist attraction, known for its beachside village near Koyilandy, is located in the same state where ""Kerala Mural Paintings"" were traditionally painted?",Removed  (known for frescos depicting hindu mythology)
"Which temple, famous for ancient hindu temple dedicated to lord vishnu, is worshipped in the same state where the tourist attraction Bahour Lake (known for second largest lake in the indian union territory of puducherry is) is located?",Varadaraja Perumal Temple,"The second largest lake in the Indian union territory of Puducherry is recognised as one of the Important Bird Areas (IBAs) of Puducherry.|An ancient Hindu temple dedicated to Lord Vishnu, showcasing Dravidian temple architecture.",tourism:bahour_lake|state:puducherry|religion:varadaraja_perumal_temple,A,bank,0.9910646677017212,"Which temple, famous as an ancient Hindu temple dedicated to Lord Vishnu, is worshipped in the same union territory where the tourist attraction ""Bahour Lake""  is located?",Quetion is referring to Puducherry which is a union territory 
"Which tourist attraction, famous for municipality and hill station known for its lakes, is located in the same state where the dish Chettinad cuisine (known for cuisine that uses a variety of spices and the dishes are made) originated?",Kodaikanal,"A cuisine that uses a variety of spices and the dishes are made with fresh ground masalas. Chettiars also use a variety of sun-dried meats and salted vegetables, reflecting the dry environment of the region.|A municipality and hill station known for its lakes, waterfalls, and pleasant climate.",cuisine:chettinad_cuisine|state:tamil_nadu|tourism:kodaikanal,A,bank,0.9950496554374695,"Which tourist attraction, famous as a municipality and hill station known for its scenic lakes, is located in the same state where ""Chettinad cuisine"" originated?",Removed (known for cuisine that uses a variety of spices and the dishes are made) 
"Which palace, famous for grand former royal palace built in the early 20th century, was built in the same state where the wildlife sanctuary Trishna Wildlife Sanctuary (known for protected area established in 1988) is associated?",Ujjayanta Palace,"A protected area established in 1988, home to gaur, hoolock gibbon, golden and capped langurs, and diverse birdlife .|A grand former royal palace built in the early 20th century, now housing the State Museum.",tourism:trishna_wildlife_sanctuary|state:tripura|history:ujjayanta_palace,A,bank,0.9999042749404907,"Which palace, famous as a grand former royal palace built in the early 20th century, was constructed in the same state where the ""Trishna Wildlife Sanctuary""  is located?",Removed (known for protected area established in 1988) 
"Which historic site, famous for set of medieval monuments, is associated with the same state where the tourist attraction Nagaland Zoological Park (known for 176-hectare (430-acre) zoo located at rangapahar and it is the biggest zoo) is associated?",Ruins of Kachari Rajbari,A 176-hectare (430-acre) zoo located at Rangapahar and it is the biggest zoo was opened to public in August 2008|A set of medieval monuments,tourism:nagaland_zoological_park|state:nagaland|history:ruins_kachari_rajbari,C,bank,0.9993852376937866,"Which historic site, famous for the ruins of a medieval palace complex, is located in the same state where the ""Nagaland Zoological Park""  is situated?",Question was misleading so added  ruins of a medieval palace complex
"Which art piece, famous for integral to the region's culture and has been used for writing buddhist, was crafted in the same state where the tourist attraction Parshuram Kund (known for hindu pilgrimage site situated on the brahmaputra plateau in the lower reaches) is associated?",Monpa paper scrolls,"A Hindu pilgrimage site situated on the Brahmaputra plateau in the lower reaches of the Lohit River|A traditional paper crafted by the Monpa people made from the bark of the ""Shugu Sheng"" tree, is integral to the region's culture and has been used for writing Buddhist scriptures, hymns, and other important documents",tourism:parshuram_kund|state:arunachal_pradesh|art:monpa_paper_scrolls,A,bank,0.9924499988555908,"Which art piece, famous for being integral to the region’s culture and used for writing and illustrating Buddhist texts, was crafted in the same state where ""Parshuram Kund"" is located?",Removed (known for hindu pilgrimage site situated on the brahmaputra plateau in the lower reaches)
"Which festival, famous for with the nyokum goddess as the principal deity, is celebrated in the same state where the monastery Tawang Monastery (known for second-largest monastery in the world) is associated?",Yugang Bamboo Altars,"The second-largest monastery in the world. Founded in the 17th century, it belongs to the Gelugpa sect of Tibetan Buddhism and serves as a vital spiritual and cultural center situated in the valley of the Tawang Chu|A festival celebrated by the Nyishi tribe interpreted as inviting all the Gods and Goddesses of the universe, with the Nyokum Goddess as the principal deity, to a particular venue at a particular time",tourism:tawang_monastery|state:arunachal_pradesh|festival:yugang_bamboo_altars,A,bank,0.997027575969696,"Which festival, famous for worshipping the Nyokum goddess as the principal deity, is celebrated in the same state where the Tawang Monastery — known as the second-largest monastery in the world — is located?",
"Which language, famous for indigenous language within the tani languages group, is spoken in the same state where the festival Sunrise Festival at Dong (known for five-day celebration will begin with the first sunrise of the new year) is celebrated?",Tagin dialect,"The five-day celebration will begin with the first sunrise of the New Year and feature cultural showcases, local cuisine, traditional crafts, and guided treks to vantage points offering breathtaking views of the early dawn|A Sino-Tibetan language spoken by the Tagin people, It's a stable, indigenous language within the Tani languages group, and while widely used within the community",festival:sunrise_festival_at_dong|state:arunachal_pradesh|language:tagin_dialect,A,bank,0.998214840888977,"Which language, famous as an  indigenous language within the Tani languages group, is spoken in the same state where the  ""Sunrise Festival""  is celebrated?",Removed at Dong (known for five-day celebration will begin with the first sunrise of the new year)
"Which historic site, famous for constructed during the qutb shahi period and completed in ah 1082 (1671/1672, was built in the same state where the art piece Nirmal paintings (known for popular form of paintings) is associated?",Toli Masjid,"A popular form of paintings ,the paintings have golden hues.This art was practiced in the 14th century by a group of artisans who are known as Naqash.|A mosque was constructed during the Qutb Shahi period and completed in AH 1082 (1671/1672 CE)",art:nirmal_paintings|state:telangana|history:toli_masjid,A,bank,0.9962298274040222,"Which historic site, famous for being constructed during the Qutb Shahi period and completed in  1082 AH (1671/1672), was built in the same state where the art piece ""Nirmal paintings"" originated?",Removed (known as a popular form of paintings) 
"Which historic site, famous for series of edicts on the teachings of buddha created, was ruled in the same state where the personality Shah Rukh Khan (known for indian actor and film producer who works in hindi cinema) worked?",Ashokan Rock Edict,"An Indian actor and film producer who works in Hindi cinema,referred to in the media as the ""Baadshah of Bollywood"" and ""King Khan"", appeared in more than 100 films, and earned numerous accolades, including 14 Filmfare Awards, awarded the Padma Shri by the Government of India, as well as the Order of Arts and Letters and Legion of Honour by the Government of France|A series of edicts on the teachings of Buddha created by Ashoka, the Mauryan Emperor who ruled in the Indian subcontinent during the 3rd century BC. The Edicts of Ashoka were either carved on in-situ rocks or engraved on pillars erected throughout the empire.The first in-situ rock edict was discovered in 1966, and establishes the city's ancient historical link with the Ashokan era (273-236 BC)",personalities:shah_rukh_khan|state:delhi|history:ashokan_rock_edict,A,bank,0.9989609718322754,"Which historic site, famous for its series of rock edicts inscribed with the teachings of Buddha, is located in the same state where the personality ""Shah Rukh Khan"" worked?",Removed  (renowned Indian actor and film producer in Hindi cinema)
"Which wildlife sanctuary, famous for wildlife sanctuary and reservoir, is located in the same state where the historic site Dewan Devdi (known for situated close to charminar and chowmahalla palace) was built?",Manjira Wildlife Sanctuary,"The palace of the nobles, the Salar Jungs, situated close to Charminar and Chowmahalla Palace .The word Diwan means Prime Minister, and Devdi refers to mansions of Hyderabadi noblemen.|A wildlife sanctuary and reservoir ,originally a crocodile sanctuary developed to protect the vulnerable species mugger crocodile, today it is home to more than 70 species of birds.",history:dewan_devdi|state:telangana|tourism:manjira_wildlife_sanctuary,A,bank,0.9946739673614502,"Which wildlife sanctuary, famous for being both a wildlife habitat and a reservoir, is located in the same state where the historic site ""Dewan Devdi""  was built?",Removed (situated close to Charminar and Chowmahalla Palace)
"Which historic polity, famous for empire that was established in 1336, was ruled in the same state where the sport Kambala buffalo race (known for and the pair was run one) is played?",Vijayanagara Empire response to,"It is a sport, an annual buffalo race. It was non-competitive, and the pair was run one by one. the contest generally takes place between two pairs of buffaloes.|A empire that was established in 1336 by the brothers Harihara I and Bukka Raya I of the Sangama dynasty, belonging to the Yadava clan of Chandravamsa lineage",sports:kambala_buffalo_race|state:karnataka|history:vijayanagara_empire_response,A,silver,NA,"Which historic polity, famous for empire that was established in 1336, was ruled in the same state where the sport ""Kambala buffalo race""  is played?",Removed (known for and the pair was run one)
"Which historic site, famous for revolt of the tribal kol people which took place between 1831 and, happened in the same state where the language Santali & Ho (known for kherwarian munda language spoken natively) is spoken?",Kol Rebellion state,"A Kherwarian Munda language spoken natively by the Santal people of South Asia,most widely-spoken language of the Munda subfamily of the Austroasiatic languages, related to Ho and Mundari.It is a recognised regional language of India as per the Eighth Schedule of the Indian Constitution.It is spoken by around 7.6 million people in India.|A revolt of the tribal Kol people which took place between 1831 and 1832.",language:santali_ho|state:jharkhand|history:kol_rebellion_state,A,bank,0.9934589266777039,"Which historic site, famous for the revolt of the tribal Kol people that took place between 1831 and 1832, is associated with the same state where the languages ""Santali and Ho""  is spoken ?",Question was incomplete so added (1832) and removed  (known for kherwarian munda language spoken natively) 
"Which dish, famous for black tea is manufactured specifically from the plant camellia sinensis, originated from the same state where the costume Muga silk (known for variety of wild silk geographically tagged to the state) is associated?",Assam tea,"A variety of wild silk geographically tagged to the state.The silk is known for its extreme durability and has a natural yellowish-golden tint with a shimmering, glossy texture and was previously reserved for the use of royalty|A black tea is manufactured specifically from the plant Camellia sinensis,now mostly grown at or near sea level and is known for its body, briskness, malty flavour, and strong, bright colour",costume:muga_silk|state:assam|cuisine:assam_tea,A,bank,0.9941855072975159,"Which dish, famous for its black tea manufactured specifically from the plant Camellia sinensis, originated from the same  state where the costume ""Muga silk""  is associated?",Removed (known for variety of wild silk geographically tagged to the state) 
"Which temple, famous for hindu temple dedicated to rama, is worshipped in the same state where the personality Talat Aziz (known for famous urdu writer and poet) is associated?","Sita Ramachandraswamy Temple, Bhadrachalam","A famous Urdu writer and poet,attended Hyderabad Public School, Begumpet.|A Hindu Temple dedicated to Rama,a prominent avatar of the god Vishnu. It is located on the banks of the Godavari River",personalities:talat_aziz|state:telangana|religion:sita_ramachandraswamy_temple_bhadrachalam,A,bank,0.992375910282135,"Which temple, famous as a Hindu shrine dedicated to Lord Rama and situated on the banks of the Godavari River, is worshipped in the same  state where the personality ""Talat Aziz""  is associated?",Question was confusing so added (Hindu shrine dedicated to Lord Rama and situated on the banks of the Godavari River)
"Which medical practice, famous for cradle of authentic ayurveda, was practised in the same state where the tourist attraction Wayanad (known for district in the north-east of the india) is associated?",Kerala Ayurveda,"A district in the north-east of the India, with its administrative headquarters at the municipality of Kalpetta. It is the only plateau, Wayanad Plateau forms a continuation of the Mysore Plateau, the southern portion of the Deccan Plateau.|The cradle of authentic Ayurveda, a science of life rooted in nature and holistic wellness. Our journey began with a commitment to preserve this ancient wisdom, crafting remedies that honor the traditions of our ancestors. Each product is a testament to the heritage of care, offering solutions deeply connected to nature's healing power.",tourism:wayanad|state:kerala|medicine:kerala_ayurveda,A,bank,0.9970341920852661,"Which medical practice, famous as the cradle of authentic Ayurveda, was practised in the same state where the tourist attraction ""Wayanad""  is located?",Removed (known for district in the north-east of the india)
"Which festival, famous for annual celebration during the month of april, is celebrated in the same state where the tourist attraction Mahabalipuram (known for collection of 7th- and 8th-century ce religious monuments in the coastal resort) is associated?",Chithirai Festival,"A collection of 7th- and 8th-century CE religious monuments in the coastal resort town and is a UNESCO World Heritage Site.It is on the Coromandel Coast of the Bay of Bengal, about 60 kilometres (37 mi) south of Chennai.|An annual celebration during the month of April. The festival, celebrated during the month of Chithirai, is associated with the Meenakshi Temple, dedicated to the goddess Meenakshi, a form of Parvati and her consort Sundareshwar, a form of Shiva.It lasts for one month.",tourism:mahabalipuram|state:tamil_nadu|festival:chithirai_festival,A,bank,0.9944796562194824,"Which festival, famous for its grand annual celebration during the month of April, is celebrated in the same state where the tourist attraction ""Mahabalipuram""  is located?",Removed (known for collection of 7th- and 8th-century ce religious monuments in the coastal resort)
"Which tourist attraction, famous for who was the founder of the sur empire, is associated with the same state where the art piece Manjusha Art (known for indian art form that are temple-shaped boxes comprising eight pillars that are) is associated?",Tomb of Sher Shah Suri,"An Indian art form that are temple-shaped boxes comprising eight pillars that are made of bamboo, jute, and paper. This also contain paintings of Hindu gods and goddesses and other characters|A mausoleum ,Sher Shah Suri, who was the founder of the Sur Empire, commissioned the tomb for himself this was completed on 16 August 1545, about three months after his death.",art:manjusha_art|state:bihar|tourism:tomb_sher_shah_suri,A,bank,0.9960284233093262,"Which tourist attraction, famous for being associated with the founder of the Sur Empire, is located in the same state where the art form ""Manjusha Art"" is practiced?","Replaced “famous for who was the founder of the sur empire” → “famous for being associated with the founder of the Sur Empire” (for grammatical correctness) ,Removed (known for indian art form that are temple-shaped boxes comprising eight pillars that are) "
